"";"UF";"ETAPA";"REDE";"COR";"total_pd";"se.pd"
"1";"Brasil";"Pré-escola";"Rede privada";"Branca";111362,82987086;11429,1493103692
"2";"Brasil";"Pré-escola";"Rede privada";"Negra";90043,7805424;8435,57796167032
"3";"Brasil";"Pré-escola";"Rede privada";"Outros";175,12565781;173,859069680792
"4";"Brasil";"Pré-escola";"Rede pública";"Branca";274062,61867623;18091,2023978886
"5";"Brasil";"Pré-escola";"Rede pública";"Negra";454809,94066057;26246,322853501
"6";"Brasil";"Pré-escola";"Rede pública";"Outros";3280,35104661;2140,50538181088
"7";"Brasil";"Regular do ensino fundamental";"Rede privada";"Branca";568722,87837772;32417,1954399186
"8";"Brasil";"Regular do ensino fundamental";"Rede privada";"Negra";476911,29783456;25299,1911096938
"9";"Brasil";"Regular do ensino fundamental";"Rede privada";"Outros";16980,95978198;7894,4330224737
"10";"Brasil";"Regular do ensino fundamental";"Rede pública";"Branca";2148091,33173789;78459,1131779184
"11";"Brasil";"Regular do ensino fundamental";"Rede pública";"Negra";3943292,5389579;115859,809026657
"12";"Brasil";"Regular do ensino fundamental";"Rede pública";"Outros";25671,34236196;7130,37188921947
"13";"Brasil";"Regular do ensino médio";"Rede privada";"Branca";180553,67265261;14679,0779715091
"14";"Brasil";"Regular do ensino médio";"Rede privada";"Negra";97931,12011935;9054,28483409986
"15";"Brasil";"Regular do ensino médio";"Rede privada";"Outros";1407,53825671;1045,70587442351
"16";"Brasil";"Regular do ensino médio";"Rede pública";"Branca";755191,80785851;39590,1012108552
"17";"Brasil";"Regular do ensino médio";"Rede pública";"Negra";1133514,77341646;37617,9185466013
"18";"Brasil";"Regular do ensino médio";"Rede pública";"Outros";8762,07800883;2833,77307721596
"19";"Rondônia";"Pré-escola";"Rede privada";"Branca";920,57038386;567,370872903849
"20";"Rondônia";"Pré-escola";"Rede privada";"Negra";0;0
"21";"Rondônia";"Pré-escola";"Rede privada";"Outros";0;0
"22";"Rondônia";"Pré-escola";"Rede pública";"Branca";950,80099061;462,390658500523
"23";"Rondônia";"Pré-escola";"Rede pública";"Negra";6164,12465317;1914,87432719319
"24";"Rondônia";"Pré-escola";"Rede pública";"Outros";0;0
"25";"Acre";"Pré-escola";"Rede privada";"Branca";132,20555783;90,2717569562869
"26";"Acre";"Pré-escola";"Rede privada";"Negra";184,19891437;111,450451233369
"27";"Acre";"Pré-escola";"Rede privada";"Outros";0;0
"28";"Acre";"Pré-escola";"Rede pública";"Branca";495,45507528;192,793654461488
"29";"Acre";"Pré-escola";"Rede pública";"Negra";2177,31696434;544,714845535701
"30";"Acre";"Pré-escola";"Rede pública";"Outros";91,26672761;87,8290621992816
"31";"Amazonas";"Pré-escola";"Rede privada";"Branca";1658,87063098;911,477284017624
"32";"Amazonas";"Pré-escola";"Rede privada";"Negra";1761,98396651;972,594115337297
"33";"Amazonas";"Pré-escola";"Rede privada";"Outros";0;0
"34";"Amazonas";"Pré-escola";"Rede pública";"Branca";3835,86411767;1508,23453395099
"35";"Amazonas";"Pré-escola";"Rede pública";"Negra";12169,31933852;2887,23757587552
"36";"Amazonas";"Pré-escola";"Rede pública";"Outros";0;0
"37";"Roraima";"Pré-escola";"Rede privada";"Branca";92,4165357;81,910718390852
"38";"Roraima";"Pré-escola";"Rede privada";"Negra";76,8368865;81,354120731166
"39";"Roraima";"Pré-escola";"Rede privada";"Outros";0;0
"40";"Roraima";"Pré-escola";"Rede pública";"Branca";655,94782874;260,3040777489
"41";"Roraima";"Pré-escola";"Rede pública";"Negra";3183,75446857;991,124460713
"42";"Roraima";"Pré-escola";"Rede pública";"Outros";84,38006343;78,7716705092064
"43";"Pará";"Pré-escola";"Rede privada";"Branca";1677,41179661;902,826178615305
"44";"Pará";"Pré-escola";"Rede privada";"Negra";9163,60950023;2494,59230761547
"45";"Pará";"Pré-escola";"Rede privada";"Outros";0;0
"46";"Pará";"Pré-escola";"Rede pública";"Branca";5930,38505429;1949,53330327444
"47";"Pará";"Pré-escola";"Rede pública";"Negra";26611,56918812;4647,70634693259
"48";"Pará";"Pré-escola";"Rede pública";"Outros";302,18426968;306,948152635393
"49";"Amapá";"Pré-escola";"Rede privada";"Branca";404,49373527;258,393543874507
"50";"Amapá";"Pré-escola";"Rede privada";"Negra";1077,70100698;553,398559672252
"51";"Amapá";"Pré-escola";"Rede privada";"Outros";0;0
"52";"Amapá";"Pré-escola";"Rede pública";"Branca";479,78890111;356,607485285155
"53";"Amapá";"Pré-escola";"Rede pública";"Negra";2320,81169656;1211,99285426911
"54";"Amapá";"Pré-escola";"Rede pública";"Outros";0;0
"55";"Tocantins";"Pré-escola";"Rede pública";"Branca";896,92382238;487,177575629092
"56";"Tocantins";"Pré-escola";"Rede pública";"Negra";3381,72319588;953,21280400801
"57";"Tocantins";"Pré-escola";"Rede pública";"Outros";0;0
"58";"Tocantins";"Pré-escola";NA;"Branca";NA;NA
"59";"Tocantins";"Pré-escola";NA;"Negra";NA;NA
"60";"Tocantins";"Pré-escola";NA;"Outros";NA;NA
"61";"Maranhão";"Pré-escola";"Rede privada";"Branca";578,71897973;373,700063516537
"62";"Maranhão";"Pré-escola";"Rede privada";"Negra";3013,12805176;1053,37784784174
"63";"Maranhão";"Pré-escola";"Rede privada";"Outros";0;0
"64";"Maranhão";"Pré-escola";"Rede pública";"Branca";7612,65929236;1594,6136138399
"65";"Maranhão";"Pré-escola";"Rede pública";"Negra";33921,59978096;3411,31702963468
"66";"Maranhão";"Pré-escola";"Rede pública";"Outros";0;0
"67";"Piauí";"Pré-escola";"Rede privada";"Branca";302,6479849;305,877267576781
"68";"Piauí";"Pré-escola";"Rede privada";"Negra";701,11872916;383,901267805395
"69";"Piauí";"Pré-escola";"Rede privada";"Outros";0;0
"70";"Piauí";"Pré-escola";"Rede pública";"Branca";2250,40971059;918,677647030914
"71";"Piauí";"Pré-escola";"Rede pública";"Negra";12371,34989051;3072,39178032758
"72";"Piauí";"Pré-escola";"Rede pública";"Outros";0;0
"73";"Ceará";"Pré-escola";"Rede privada";"Branca";2857,88347565;1422,43605126364
"74";"Ceará";"Pré-escola";"Rede privada";"Negra";6466,39216907;2246,07402805274
"75";"Ceará";"Pré-escola";"Rede privada";"Outros";0;0
"76";"Ceará";"Pré-escola";"Rede pública";"Branca";7801,17448571;2203,17779925094
"77";"Ceará";"Pré-escola";"Rede pública";"Negra";23284,84025393;4087,76012980192
"78";"Ceará";"Pré-escola";"Rede pública";"Outros";450,07985966;434,339167427572
"79";"Rio Grande do Norte";"Pré-escola";"Rede privada";"Branca";2490,84188727;1069,54977387904
"80";"Rio Grande do Norte";"Pré-escola";"Rede privada";"Negra";1554,08849135;707,44386091181
"81";"Rio Grande do Norte";"Pré-escola";"Rede privada";"Outros";0;0
"82";"Rio Grande do Norte";"Pré-escola";"Rede pública";"Branca";3284,09239721;1166,27879165009
"83";"Rio Grande do Norte";"Pré-escola";"Rede pública";"Negra";6884,19764596;1876,59864592087
"84";"Rio Grande do Norte";"Pré-escola";"Rede pública";"Outros";0;0
"85";"Paraíba";"Pré-escola";"Rede privada";"Branca";3512,24315418;1304,37062831372
"86";"Paraíba";"Pré-escola";"Rede privada";"Negra";2456,98116313;1284,06913900711
"87";"Paraíba";"Pré-escola";"Rede privada";"Outros";0;0
"88";"Paraíba";"Pré-escola";"Rede pública";"Branca";6296,64076751;1766,71133735673
